,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Afghanistan,,,,,,,,,,,,,,,,,,,,,2.051582069,2.76977953,1.348272708,1.784349037,1.753888838,1.196233741,1.434565271,0.927842184,-0.50774596,-1.058827985,-1.89989035,-2.212605755,-5.024386165,-7.685788675,-8.758482512,-9.681010064,-9.735691165,-7.832190451,-6.703746843,-7.435903039,-12.17249176,-13.75583748,-9.628362483,-6.379329461,-5.494353425
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.272994005,6.70647696,11.15558314,8.317806499,6.722060866
Algeria,,,,,,,,,,,0.939707877,0.821342037,5.814123563,3.02807754,0.680566393,-0.243794073,1.656937862,1.092053562,0.997794112,2.562178512,1.679549305,2.517510264,1.113916333,1.776304451,3.050559695,3.186156598,2.83325266,3.330103173,2.305711845,0.549572989,0.973035393,1.206351432,0.847211619,0.287644515,-0.435504602,-0.245647398,-0.407904941,-0.834492424,-0.116492512,0.058707564,0.324175526,0.335679408,0.187645864,0.988286045,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,0.409238944,0.591314613,0.681638633,3.488448976,3.326348851,4.408944469,5.963481657,5.227518042,7.425506015,6.613213092,7.203760245,7.323007554,7.093591318,5.423616133,5.818845374,4.834668525,4.673061332,5.13012448,3.491284626,3.47911286,2.682820168,2.948391361,3.19607074,2.802896509,
Argentina,1.034709473,0.987919956,1.693886225,1.11386138,1.45621936,1.682502685,1.543136477,1.413496178,1.254853602,2.751209257,2.168186651,2.116172001,2.24179381,3.040527271,2.80622438,1.719684706,1.663970145,1.900811552,1.147135241,1.056374105,1.045319115,0.132329541,-0.464501742,-0.458218889,-0.744475145,-1.428912826,-0.583062189,-0.871745101,-0.891068603,-2.330266225,-2.686303336,-1.018506885,0.575226031,0.805641635,1.10267985,1.653031523,1.359092527,1.89014734,2.603356347,3.188898236,3.248900133,1.624811862,-0.501000176,-0.349825309,-0.020874088
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1.531285307,1.495082278,2.59397269,2.179423928,2.090947439,1.95406543,2.509567438,2.713968619,2.884724451,2.871623878,3.130105677,3.502189194,3.27943146,3.158728731,2.496084407,2.568423157,2.469650289,2.342936744,2.026951762,1.787880137,1.752100131,1.748978252,1.311042061,1.239266546,1.694766939,1.915403223,1.732815434,1.987395705,1.848383134,1.971995038,1.583006431,1.283594996,1.742371684,1.708334295,1.764613476,1.696170849,1.89190848,1.883066882,2.098839453,2.135306773,2.377418865,2.673908836,2.687171697,2.724652901,2.434976645
Austria,5.419928956,5.258347805,5.51304676,5.532958094,5.225725447,4.486634916,4.648579927,4.281329585,4.299002871,4.548820997,4.094721043,4.084250968,4.478306734,4.616814321,4.425480135,4.149003852,4.122759301,4.388660808,3.820216243,4.066368139,3.458937801,3.02821128,2.640384992,2.429238454,2.132102368,2.461302269,2.145553692,1.774315189,2.288441966,1.898555486,2.225910973,2.426487955,2.384047942,2.074206225,2.158279781,1.994369303,2.029927382,2.079918421,2.081207683,2.007092882,1.967532629,1.793201973,1.706536191,1.837290519,1.926890683
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,0.687293052,0.257297769,1.12550528,1.069314243,3.14906025,5.249890051,4.976606614,4.788527026,3.685867237,2.584710042,1.349762968,1.383379507,0.161785615,-0.621825545,-0.435213456,-1.01374898,-1.266849523,-1.796480008,-1.811093979,-1.853592375,-0.779275813,-0.617159087,0.236896196,0.555809094,0.536325006
Bahrain,,,,,,,,,,,,,,,,,,,,,4.566036291,4.071226534,4.402380049,5.033625536,-0.338283893,-1.75342894,-2.31281304,-3.160322697,-1.765871988,-1.303645591,-0.727932368,-0.620239839,-0.379505883,1.066273248,-0.821518699,0.768915039,0.786436533,0.818918686,0.362089226,0.807353327,0.818874646,1.555563062,0.997171667,-0.017939021,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,0.349488846,0.443951098,1.293646599,0.409337607,0.938074363,0.656793627,0.922715235,1.376915123,1.615442412,1.906922865,1.905311691,1.939357839,1.69530949,1.538020746,1.887079952,2.05754443,1.634734515,1.515515774,1.588575948,2.111543856,2.425349959,2.527488639,
Barbados,,,,,,,,,,,5.253506202,5.084250161,4.672855505,4.963113453,4.982062443,3.601704816,3.148169272,2.534679895,2.838827209,2.375377651,1.502409686,0.688928019,0.303458779,0.596722113,0.915161431,1.550462687,2.4278567,2.331058756,1.936583288,1.247679573,0.781620047,1.070428974,0.823715438,0.313739602,0.00549597,0.418542394,-0.086922834,-0.190651528,0.01465503,0.239108595,0.990521771,0.783097464,1.180346409,1.698422789,1.60998764
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2.49937645,2.596478168,2.903306454,3.075315226,3.306779575,3.238951294,3.259510476,3.472592693,4.032419754,4.376019193,4.470806192,4.363308111,4.357568262,4.533271308,4.306674111,3.852182651,4.130987797,3.844728665,3.733303503,3.353825971,3.186207644,2.769013985,2.337514083,1.745759423,1.608833061,1.942147132,1.575530746,1.737846184,1.934102299,2.039322797,1.924327593,2.143617289,2.212187957,2.058054705,2.082072144,2.137005939,2.029398153,2.117267157,1.799325119,1.733330462,1.793813595,1.721580888,1.715341187,1.919656001,1.876114725
Belize,,,,,,,,,,,,,,,,,,,,,5.535783207,3.73537258,3.878675338,2.941694526,1.63312027,-0.257412626,0.63374964,0.655057652,-0.907983339,-0.773134014,-1.308678565,-0.398216432,-0.089733473,0.938388432,2.419870659,4.392594399,3.547789659,3.092606599,2.901164192,2.260745262,1.526010925,2.260558397,2.34763261,2.361345186,1.420187462
Benin,,,,,,,,,,2.063507722,1.412672122,1.576005148,3.453039153,3.037188094,2.60842765,1.305887571,1.257599998,-0.20717549,-0.758072732,-0.272059687,0.193055003,-0.164845344,-0.594183411,-1.295558915,-0.934247141,0.276776421,-0.047505315,0.955852304,1.284441737,0.06600687,-0.34498968,0.207494176,-0.381217971,0.426558479,-0.138786873,-0.535194735,-0.076800548,0.554310328,0.740863689,1.267594951,1.432247314,1.359639677,1.545305889,1.795267165,
Bermuda,,,,,,,,,,,,,,,,,,,,,3.319346505,2.537353814,2.629655328,2.593386109,2.501839924,2.099458528,1.730802068,2.034800675,1.95984411,1.219526991,0.538896342,0.875051775,0.336860902,0.541884605,0.672486952,0.565707456,0.579932883,0.388885956,0.398024224,1.108722582,0.737584168,0.771057191,1.190079686,1.446998336,
Bhutan,,,,,,,,,,,,,,,,,,,,,5.804661297,5.716464564,5.788072955,5.907685916,6.432232866,5.552306251,6.134820432,7.402710981,7.23874526,5.833979376,3.795356116,3.828800757,3.568187859,2.916344589,2.58872948,3.723333916,3.261341826,2.952769828,3.528030318,3.27716302,3.515832574,3.343687335,3.630309732,4.545767098,
Bolivia,-1.699533271,-1.964010304,-1.993549134,0.03603064,0.419879156,0.632861,1.672764023,2.268206848,0.726802656,0.825831952,0.538932453,0.49385625,0.909080653,0.822407864,0.854184931,0.703211773,0.829814893,0.612279902,2.021890984,1.939919795,1.945785129,1.687273928,0.942148488,-0.379785552,-0.770681766,-1.406805785,-2.369594842,-2.404546652,-2.127843726,-2.027479647,-1.742182056,-1.517337505,-1.127423674,-0.109956501,0.292299132,0.759301386,1.359959283,1.288969478,1.321688472,1.320977387,1.268777434,1.220550527,1.334620334,1.265550129,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.353593527,8.831599744,12.47678067,15.19649365,
Botswana,,,,,,,,,,,,,,,,,,,,,8.847810626,6.790577029,7.067230909,7.230028917,6.076975978,5.844285849,5.774460771,5.7687761,5.646205836,6.716047456,6.914475818,8.107860633,6.856838445,5.58804541,5.72171489,4.477643448,4.535848159,4.252395198,4.01660524,1.925227199,3.009439379,3.145756883,2.617628064,3.285205148,4.365012862
Brazil,4.00401527,4.884043011,4.426506952,4.291361424,4.025710654,3.907507824,3.832832414,3.520159706,3.930073328,3.882735371,4.061641452,3.7430294,4.39014917,5.040707904,5.406757081,5.536611834,6.232584703,6.051528746,5.398399628,5.483164259,5.309331557,4.003536294,3.137270179,1.640514542,1.386326461,1.741553956,1.600802238,1.902235589,1.602484417,1.493592659,0.244115714,0.758881725,0.613159243,1.280325545,1.425539709,0.568652616,0.05023584,-0.259347073,-0.163043524,-0.443443839,0.514091272,0.462712318,0.418310341,0.618271199,
Brunei,,,,,,,,,,,,,,,,,,,,,4.298185673,1.448728797,0.81214091,0.195484207,-0.456452543,-0.6805612,-2.712336783,-3.560871067,-4.09817534,-6.080329078,-5.01576635,-2.329077953,-2.514825669,-2.64569662,-2.48041648,-2.082770792,-1.294896678,-1.12497702,-0.95905504,-1.229451007,-1.141793164,-1.161962021,-0.65743924,-0.175676463,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.967417301,-0.02051331,0.783073625,1.920393301
Burkina Faso,,,,,,,,,,-1.170095127,-1.142943014,0.115564192,0.417827575,0.400371723,0.514970451,0.751700757,0.935096818,0.721687834,0.110335078,0.363178308,0.798749869,1.723052203,1.209674434,1.040182206,0.561643199,1.253383244,1.58877541,1.749851426,2.344375572,2.029282263,1.032391313,0.88265586,0.627548342,0.80754223,1.430004273,0.49048858,0.098922295,-0.248206619,-0.568006705,0.379109293,1.18580789,0.869096733,1.430701291,2.585468422,2.325122251
Burundi,,,,,,,,,,,1.962155301,3.762321283,2.75588694,2.627890661,2.664550665,2.297389318,3.070896762,2.943172852,2.992093545,3.600762704,1.050607194,1.479696672,1.474761668,0.653308633,0.769804705,1.443793479,0.946451922,0.189256493,1.422916618,0.684553136,1.763946001,1.667731824,1.999238091,0.460092813,-0.109838817,-0.832772227,-1.969223811,-2.109916983,-2.952783276,-1.680923531,-4.131647862,-4.22196951,-3.65645038,-1.87312129,
Cambodia,,,,,,,,,,,,,,,,,,,,,-8.274473743,-7.719538053,-7.554784291,-5.940670802,-5.629775571,-5.846339527,-6.326757553,-4.963957295,-3.554674536,-2.323906854,-1.638952158,-0.997685992,0.030572852,0.788350198,1.606830606,1.589867951,2.6623039,3.24683837,1.71570502,2.035217421,2.838819438,2.798613679,2.567344259,2.630637774,
Cameroon,,,,,,,,,,,0.083432628,-0.122704388,-0.156717133,-0.016251944,0.132060757,0.040102609,0.028648307,1.349977518,1.107796425,1.204871943,1.983093312,3.229256309,4.994361036,5.359076133,5.090202006,5.924526994,5.726011954,4.204395051,3.701015071,2.002089258,1.289003527,-0.255248855,-2.518287674,-3.527887183,-4.194577022,-4.951443206,-4.771269285,-3.032437942,-2.316027511,-1.197295236,-0.863968285,-0.084375222,0.902911238,1.7258911,
Canada,1.386794194,1.117636871,1.101614702,1.312752038,2.305859537,2.269594156,2.128922651,2.274370134,2.65211433,2.892158933,2.967255239,3.343330803,3.197028795,3.370879143,3.016945608,2.693455905,2.659383561,2.92993257,2.880325783,2.785257044,2.807140784,2.560895454,1.771378732,1.483029018,1.790047703,2.021763304,1.770300834,1.814717284,1.871180105,1.752931835,1.538691796,0.971318853,1.390873808,1.312615714,1.262952888,1.119472441,1.057128173,1.144875556,1.158580411,1.512021505,2.107527228,2.559121806,2.785648434,2.745133198,2.512726479
Cape Verde,,,,,,,,,,,4.335417432,3.410021171,4.382008025,4.18558388,3.786739558,3.010618557,1.417439061,-0.325127444,-0.791159464,-0.192270601,-0.835641329,-0.177290491,-0.222371701,1.731942809,1.827406661,3.934853184,3.881222644,3.776693877,4.442016674,4.437386781,4.01871438,3.661098722,3.473866,2.958829916,2.239639368,2.524618434,2.453545709,3.525796435,3.596718175,4.22430316,5.704810296,5.032801653,5.231312193,4.895490677,
Central African Republic,,,,,,,,,,,,,,,,,,,,,-0.433525615,0.793739373,1.203834757,0.016934807,0.442775969,0.308754222,0.119821697,-0.953628297,-1.847585687,-1.217999331,-0.62487271,-0.835209107,-2.950993232,-2.271453871,-2.690081279,-2.289820047,-2.889338186,-2.107268054,-2.036469796,-0.965827984,-0.618624515,-0.216411387,1.551742313,1.486263471,
Chad,,,,,,,,,,,-1.265618611,-1.41380117,-3.491139365,-3.20004548,-2.326374177,-1.588147552,-1.116086951,-1.236327805,-1.235877947,-3.570576798,-4.510306864,-4.624809995,-3.668323325,-1.876274295,-2.231985356,-1.337843236,-1.342005084,-1.046134589,0.304030925,3.069308906,2.925042197,3.54603036,3.830294053,2.44271106,1.809292424,0.362030829,0.174746319,0.544411282,-0.08209459,-0.199995966,-0.0486503,-1.444139839,-2.267577378,0.078325187,
Chile,,1.6666422,1.577256947,0.975890295,1.898221842,1.452513113,2.492419057,2.055861862,2.01935036,2.71492041,2.072459687,2.740755044,2.321339062,1.390145442,1.37024134,-0.155327202,-0.941531438,-0.25586908,0.131037339,0.551530945,0.797948963,0.445827662,-1.002159201,-0.852847512,-0.537028503,1.065107325,1.318811938,0.937499265,0.800011079,0.891286937,0.6803204,0.854082534,3.48763998,4.528383247,4.616829967,5.511832922,5.805681723,5.94618685,5.608739668,4.691812978,4.813226348,4.440136664,3.549899241,3.334645577,3.351326472
China,,,1.067426045,1.072734373,1.994901974,2.455993794,2.105440285,1.297799395,-0.131571249,0.56445079,1.175771281,3.521354965,3.735135507,3.70684503,2.807778284,2.450154085,2.010231978,3.019254561,4.445310989,4.484072234,4.1516748,4.160799493,5.17813162,5.329730012,6.57107754,6.77813045,8.129523045,8.661455438,8.345300258,7.542783647,8.369731796,8.398918782,8.35738442,8.480072952,8.74293391,9.064785719,8.505742311,8.612312269,8.846654883,9.441410984,9.081771477,9.062602109,8.851791204,8.835665198,8.075128176
Colombia,1.303543867,1.500024706,1.430163338,1.127336375,1.234370702,1.032521321,1.230161797,1.561272147,1.858464087,1.941580915,2.143230567,2.369107682,2.538800959,2.893430637,2.779658339,2.99410636,3.104263579,3.120381354,3.532963122,3.48105788,3.350562298,2.895751786,2.332853874,1.842357907,1.711917344,1.729715627,1.746999192,1.84674809,1.400374821,1.21653952,1.216162457,1.256001085,1.492306847,1.711361954,1.805608826,2.001675764,1.953091521,1.898872882,1.656415895,1.272157999,1.113733922,0.987089178,0.904604305,0.857072518,
Comoros,,,,,,,,,,,2.107124398,1.344225824,2.176369488,-0.513486248,-0.618683528,2.317289446,1.065150867,-0.519087048,-1.03279923,-0.109788737,1.294112375,1.619611278,1.061273705,1.98620254,1.499889585,0.485062928,1.177177399,1.564855991,1.652959587,0.886097503,0.439685594,0.137794153,-0.764656881,-0.732000797,-0.612003909,-1.91485443,-2.3705953,-2.646509585,-3.326399388,-3.473732219,-3.661121013,-3.627433242,-3.140312757,-3.647852246,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,-2.047083617,-3.02185498,-4.348091322,-4.323286302,-4.24118595,-3.563395842,-2.05541526,-1.951260091,-2.017588942,-2.724212943,-1.68432553,-2.060655955,-2.891071384,-5.514731569,-5.472652528,-6.300328823,-6.787494408,-6.689829899,-6.649027771,-7.416730432,-9.492757847,-8.981194828,-6.947854808,-2.489348435,-2.598314452
"Congo, Rep.",,,,,,,,,,,2.614177954,3.327665505,2.754245518,3.70841975,3.048642964,3.779557797,4.419808113,4.333826062,4.254809067,4.88705346,5.399558177,6.149941349,7.281818504,6.830880501,7.668081725,6.371621916,4.794370422,4.395394976,3.772147142,2.428795526,2.390859274,-0.75655144,-1.124978619,-2.905778348,-3.871836682,-2.582489277,-1.436184836,-0.856557751,0.507003124,-4.523127964,-6.959599391,-5.086459418,-5.171804116,-3.861165072,
Costa Rica,3.637701631,3.106233766,2.606372052,1.541617677,1.706541613,1.728815703,2.56701117,2.487861373,1.957979353,2.364168426,2.358650157,3.038862637,3.187113854,3.155923276,3.155549768,2.597983362,2.482804608,2.923433245,2.833990448,2.799615834,2.106465761,1.470433645,0.063332581,-0.302072049,-0.176572024,-0.366416166,-0.425389158,-1.005996771,-1.210681919,-1.15817483,-0.930720523,-0.536033639,0.902458233,1.459441266,1.366328365,1.716331835,1.656807611,1.83328626,2.173722222,2.775054807,2.763429524,2.570670007,2.143306779,2.205937554,2.094483395
Cote d'Ivoire,,,,,,,,,,,3.958499709,4.322218062,3.955693306,2.81306038,1.452136092,3.125930467,2.861885582,2.681705951,2.573070385,2.439099123,0.76777475,0.23744607,1.435725792,1.120166419,1.410950972,0.727710158,0.737120902,0.670697197,-0.189297651,0.879158537,1.313698139,0.684447731,-0.604412176,-0.530676632,-1.065749197,-1.010832331,-1.220642952,-0.981630891,-0.657228822,-1.671035615,-0.798954573,-0.468343501,-0.579275002,-0.305350684,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.757821333,0.905277171,2.59523715,3.923570955,3.704065131
Cuba,,,,,,,,,,,,,,,,,,,,,3.434486313,4.748135781,5.751947951,6.097027581,6.426718131,8.28371113,8.017871833,6.909089563,6.382241737,6.180852491,6.018370794,3.954174413,1.368533947,-0.559856635,-0.649060171,-3.267718646,-3.11279621,-3.314670584,-3.322413302,-2.738625663,-1.64339466,-1.111252781,0.482229158,2.425447125,
Cyprus,,,,,,,,,,,,,,,,,,,,,4.539186765,3.8282802,3.787098439,4.209761835,6.596022302,8.412394818,6.742635522,5.930621421,5.990301658,5.770674904,5.844330999,5.494370726,5.562816151,4.82435852,4.749533167,5.245589547,5.013323293,4.440917675,3.8513397,3.849035742,3.410593018,3.875503129,3.456486602,3.803024535,3.542826184
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087663833,1.59673847,1.866096554,2.103760075,2.265872738
Denmark,2.585510952,3.577411668,3.987383824,3.357824609,3.793559299,4.343266679,4.381972809,4.317259672,4.487999672,4.199484673,3.788798554,3.400123217,3.275486771,3.610787031,2.556158523,1.962922396,2.349313905,2.127707252,1.990628393,1.724674872,1.450525778,1.025384777,0.909555486,0.79767598,1.38137846,1.98276132,1.787301183,1.700939968,1.672085724,1.38880385,1.559039181,1.898652609,1.784547161,1.523578704,1.68175863,1.603583146,1.426577655,1.74548172,1.814934601,2.016561622,2.284484877,2.201325133,2.036061434,2.140338378,1.777325532
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.833731135,-1.876238651,-3.391494152,-2.777312486,-1.722222964,-3.691164719,-1.155191948,-2.640816428,-3.204678779,-2.985802086,1.177235826,1.294907283,4.297821392,3.716333595,2.932172851,
Dominica,,,,,,,,,,,,,,,,,,,,,-2.404573195,-0.63069973,0.128917558,1.260185652,2.462947752,3.471998543,3.757518103,4.040351782,3.929444077,4.681190407,6.045918381,3.583739297,4.127300271,3.727986618,3.658324627,3.371690769,2.795781047,2.496615774,2.918681994,3.741844495,2.859007151,2.336790046,1.287585982,0.694215519,
Dominican Republic,,1.707174002,3.656489847,4.637075564,4.657412753,3.201225389,2.934088751,2.189855165,1.536795176,1.841310354,2.652566317,3.475716157,1.972504486,2.082263902,2.277113202,3.350471263,3.111213652,3.761434426,4.245851545,3.95235645,3.572316458,3.886939394,3.682666724,3.143335108,2.456763752,2.2662187,2.224330874,2.110219883,1.99244511,1.929741505,0.52921554,-0.053249036,0.570366528,0.824383157,1.27128772,1.75374586,2.233571525,2.591702263,3.208600172,3.504173469,4.623208933,4.972908405,4.556144315,3.735558688,
Ecuador,,1.924609682,1.454288878,1.443814772,1.631989935,1.516665936,1.269926266,1.379038457,1.649162462,1.389450869,1.299665478,1.506658791,2.475258252,4.362029787,4.607546998,5.070890737,5.942570618,6.207322719,6.368076598,6.59500357,6.379281811,6.438965639,5.177307286,2.625943018,1.928758674,1.494995683,0.810864943,-0.710903522,-0.234145446,-0.810558362,-1.030917307,-1.074437792,-0.883699797,-0.474549996,-0.389628312,-0.337582766,-0.329614083,0.745758869,-0.226458903,-0.240530637,-0.315633012,-0.411938267,-0.473470662,-0.299850106,0.011576584
"Egypt, Arab Rep.",1.652716781,1.373370667,0.921722689,0.600784062,2.74710323,3.158523691,2.761800676,2.764492669,2.725934754,2.97421855,2.690207833,2.444155682,2.996584865,2.616505165,1.145126715,0.588790016,1.98226224,2.694602476,2.207954932,2.365832935,3.118904289,2.943949983,2.801310063,3.779448356,3.912884501,4.581794776,3.772426477,3.295654471,3.384215523,3.411525479,2.781801828,3.21548552,3.176961134,2.825908231,2.775971871,2.757378488,3.330083764,2.885496658,3.132582194,3.084534156,2.971411815,2.794411964,2.775214846,2.868647029,
El Salvador,1.329930163,1.268377537,1.57164352,1.133661835,1.506762653,1.645543121,1.789377678,1.898584062,1.99127946,1.970050989,2.192663964,2.187333012,1.782761033,1.999221941,1.76025046,1.805090266,1.783661701,1.738380005,2.016630521,1.499440855,0.764531568,0.216089792,-0.470359859,-0.849401189,-0.824839382,-1.02713085,-1.43073867,-1.593195623,-1.933724999,-1.574068148,-0.712964755,-0.03119396,0.710193881,1.308476138,1.519680083,1.809300926,2.030290733,2.166603019,2.246765742,2.551987479,2.441655383,2.346679661,1.975885493,1.457595795,
Equatorial Guinea,,,,,,,,,,,2.409742805,2.592571749,2.633533616,3.579000859,4.13271633,6.936197426,8.577877495,8.927167105,7.85140098,5.938818301,4.968487218,4.405702092,4.25630634,2.262278634,1.160193329,-1.728417863,-4.474303215,-6.1694939,-4.692361271,-3.694682038,-2.037741982,-1.836164767,-0.331430313,-1.40422184,-6.016581382,-4.997448548,0.283189005,9.782656825,11.04071977,13.58093238,15.01869355,19.2149126,21.96855005,22.23329754,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.341448605,0.686923186,-0.821923524
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.273561574,1.684554311,4.571304708,4.764601897,5.652070306
Ethiopia,1.939911057,1.038571688,1.004665079,0.795558585,1.284634939,1.546943428,1.383047421,1.721173149,2.198676765,2.055354769,1.837806553,1.891598689,1.967995104,1.933887527,1.577907928,0.957614289,0.959882988,0.844482719,0.332110497,0.271984942,0.542636279,0.516845032,0.139648586,0.361550988,-0.702282764,-0.589697822,-0.674758056,-2.933158875,-0.364307166,-1.387316399,-0.854676931,-1.627391886,0.91086875,1.313678736,2.484592139,2.793653462,3.365723565,6.271855236,3.746370161,5.356858215,4.574379315,5.163430853,2.936566947,1.483041238,
Fiji,,,,,,,,,,,,,,,,,,,,,3.587585817,2.765585363,2.226261568,0.135463854,0.989659922,1.357982939,0.17839771,0.239506422,-0.43996364,-1.26846832,1.476085099,1.85073372,1.252505829,1.566967649,0.94653584,0.590509042,2.140555577,1.480298113,1.938405285,1.398865233,-1.219295751,-1.088254736,0.015097415,0.51698036,
Finland,4.09161987,3.873345,3.622317766,4.225356048,3.876421844,3.700571525,3.697876972,3.921987631,4.247300689,4.522050439,4.399760977,3.849844934,4.255747728,4.551139185,4.577027895,3.967074471,3.565757338,3.624708849,3.50825828,3.158396653,2.93306361,2.974490206,2.663632446,2.276968529,1.989078294,2.176423195,2.534723211,2.651830239,3.11678972,3.0992789,2.350733678,1.276690393,0.495224894,0.019834248,0.172893102,0.475863807,0.522939576,0.892624549,0.956793495,0.619551444,1.351799806,2.319616678,3.083619864,3.541299836,3.496329608
France,3.599098697,3.458526142,3.501071105,3.727964339,4.225230486,4.23605909,3.934281304,3.888623634,4.223008033,4.550552229,4.498939275,4.473304146,4.298438067,4.388938611,4.029378445,3.570369913,3.559489295,3.416226184,3.323102231,2.969092641,2.675485254,2.365378351,2.261903278,1.877615033,1.766859034,2.051696186,1.873318396,1.819131498,1.928210339,1.965873655,2.040733194,2.008548154,1.860029788,1.563203386,1.652092089,1.691478614,1.505410621,1.523300699,1.485849758,1.469416383,1.634669356,1.746342227,1.684667901,1.921350482,1.944101825
Gabon,,,,,,,,,,,8.144022308,7.710361074,8.379779799,7.350060022,7.451826855,6.179164398,10.63750372,5.919054952,1.910608524,0.801003819,0.874885353,-0.5416316,-1.996551476,-2.838767117,-3.929878815,-3.751807113,-7.507720807,-5.258479743,-1.898825075,-1.690550625,-1.862823577,-0.659938937,-1.025840195,-0.786801183,-0.362275338,-0.393400266,0.083893264,-0.03680487,-0.054222054,-1.014242193,-2.20503447,-2.754560197,-2.839184229,-2.995867822,-3.802304753
"Gambia, The",,,,,,,,,,,1.957855547,2.829495011,3.243089136,1.374382237,2.611926043,1.222964447,0.793193486,1.287382655,0.218029388,-0.352975348,-0.389499899,-0.054398238,1.089296717,0.440939199,-0.165007666,-1.145147435,-0.626820967,-1.011590672,-0.178118522,0.521584711,0.274418576,-0.042996166,-0.900403173,-1.003987782,-1.116532986,-1.557469246,-1.700351939,-1.477213601,-0.959533902,0.066238719,0.444153407,0.790280139,0.008187149,0.728990632,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.855336363,4.313818621,8.745430633
Germany,,,,,,,,,,,,,,,,,,,,,2.625610513,2.260656481,1.774155384,1.583796415,1.895383477,2.14127134,1.910980181,1.729243443,1.730393498,1.594246231,1.943163702,2.394444685,2.65565737,2.299045491,2.259939779,2.231932786,2.023364547,2.046531803,1.917759095,1.800880361,1.649707315,1.355894321,1.170981228,1.287222006,1.246514352
